,0,1,2
0,2022-04-28T00:00:00Z,Successful MEV transaction,0.0033978304099677153
1,2022-01-29T00:00:00Z,Successful MEV transaction,0.002707458934624916
2,2021-11-22T00:00:00Z,Failed MEV transaction,1.4296355676322297e-05
3,2021-03-28T00:00:00Z,Failed MEV transaction,0.000266570809212486
4,2021-01-19T00:00:00Z,Failed MEV transaction,2.0960055872140535e-05
5,2021-05-26T00:00:00Z,Successful MEV transaction,0.016851315402355536
6,2020-01-23T00:00:00Z,Successful MEV transaction,0.00013916942074764088
7,2019-12-07T00:00:00Z,Failed MEV transaction,0.0
8,2021-08-11T00:00:00Z,Failed MEV transaction,6.606259863877693e-05
9,2021-03-30T00:00:00Z,Successful MEV transaction,0.011943193640003263
10,2020-11-26T00:00:00Z,Successful MEV transaction,0.02443459934978061
11,2020-03-04T00:00:00Z,Failed MEV transaction,2.0923767348120622e-05
12,2021-11-06T00:00:00Z,Successful MEV transaction,0.006065445204781326
13,2022-02-28T00:00:00Z,Failed MEV transaction,2.01372914811233e-05
14,2020-09-21T00:00:00Z,Successful MEV transaction,0.022969162938111392
15,2021-01-04T00:00:00Z,Failed MEV transaction,6.655903957161067e-05
16,2021-11-08T00:00:00Z,Failed MEV transaction,3.345420820458222e-05
17,2021-03-20T00:00:00Z,Successful MEV transaction,0.011180114167832078
18,2020-07-18T00:00:00Z,Failed MEV transaction,0.00020502358007418552
19,2021-01-18T00:00:00Z,Failed MEV transaction,6.718470486545013e-05
20,2021-10-12T00:00:00Z,Successful MEV transaction,0.007068448607970855
21,2020-11-28T00:00:00Z,Successful MEV transaction,0.020727871170008128
22,2022-03-27T00:00:00Z,Failed MEV transaction,4.187871584048013e-05
23,2020-07-09T00:00:00Z,Successful MEV transaction,0.007343733497283869
24,2019-12-11T00:00:00Z,Successful MEV transaction,8.35326996788513e-05
25,2021-07-25T00:00:00Z,Failed MEV transaction,5.071656958965976e-05
26,2020-09-22T00:00:00Z,Failed MEV transaction,6.453398679666893e-05
27,2020-08-25T00:00:00Z,Failed MEV transaction,0.00017358434281020314
28,2020-08-24T00:00:00Z,Failed MEV transaction,0.00016022750382903783
29,2021-06-29T00:00:00Z,Failed MEV transaction,2.9306396555102727e-05
30,2022-08-31T00:00:00Z,Failed MEV transaction,0.00010134234311826804
31,2021-03-04T00:00:00Z,Successful MEV transaction,0.01378147318274113
